Posição, Série n.º 2
Tempo ( s )	Posição ( m )
3,0000E-6	0,001
0,0110	0,348
0,0210	0,352
0,0310	0,355
0,0410	0,360
0,0511	0,362
0,0611	0,364
0,0711	0,365
0,0811	0,367
0,0911	0,367
0,1011	0,369
0,1111	0,368
0,1211	0,367
0,1311	0,364
0,1410	0,359
0,1510	0,356
0,1610	0,352
0,1710	0,347
0,1810	0,343
0,1910	0,338
0,2010	0,332
0,2109	0,327
0,2209	0,321
0,2309	0,313
0,2409	0,306
0,2509	0,299
0,2609	0,292
0,2708	0,286
0,2808	0,279
0,2908	0,272
0,3008	0,265
0,3108	0,259
0,3207	0,252
0,3307	0,246
0,3407	0,240
0,3507	0,235
0,3607	0,230
0,3707	0,225
0,3806	0,221
0,3906	0,217
0,4006	0,214
0,4106	0,211
0,4206	0,209
0,4306	0,207
0,4406	0,206
0,4506	0,206
0,4606	0,206
0,4706	0,206
0,4806	0,208
0,4906	0,209
0,5006	0,212
0,5106	0,214
0,5206	0,218
0,5306	0,221
0,5407	0,225
0,5507	0,230
0,5607	0,234
0,5707	0,239
0,5807	0,244
0,5907	0,250
0,6007	0,255
0,6108	0,261
0,6208	0,267
0,6308	0,273
0,6408	0,280
0,6508	0,286
0,6608	0,292
0,6709	0,298
0,6809	0,304
0,6909	0,309
0,7009	0,315
0,7109	0,320
0,7209	0,325
0,7310	0,330
0,7410	0,334
0,7510	0,338
0,7610	0,341
0,7710	0,344
0,7810	0,346
0,7910	0,348
0,8010	0,350
0,8110	0,350
0,8210	0,351
0,8310	0,350
0,8410	0,349
0,8510	0,348
0,8610	0,346
0,8710	0,344
0,8810	0,341
0,8910	0,338
0,9010	0,335
0,9110	0,331
0,9210	0,327
0,9309	0,322
0,9409	0,318
0,9509	0,313
0,9609	0,307
0,9709	0,302
0,9809	0,297
0,9908	0,291
1,0008	0,286
1,0108	0,281
1,0208	0,275
1,0308	0,270
1,0408	0,265
1,0508	0,260
1,0607	0,256
1,0707	0,251
1,0807	0,247
1,0907	0,243
1,1007	0,239
1,1107	0,235
1,1207	0,232
1,1307	0,229
1,1407	0,227
1,1507	0,225
1,1607	0,224
1,1706	0,223
1,1806	0,223
1,1906	0,223
1,2006	0,223
1,2107	0,224
1,2207	0,225
1,2307	0,227
1,2407	0,229
1,2507	0,231
1,2607	0,234
