Posição, Série n.º 2
Tempo ( s )	Posição ( m )
1,2707	0,237
1,2807	0,240
1,2907	0,244
1,3007	0,248
1,3107	0,252
1,3207	0,257
1,3308	0,261
1,3408	0,266
1,3508	0,271
1,3608	0,275
1,3708	0,280
1,3808	0,284
1,3908	0,289
1,4009	0,293
1,4109	0,298
1,4209	0,302
1,4309	0,306
1,4409	0,310
1,4509	0,313
1,4609	0,316
1,4709	0,319
1,4809	0,322
1,4909	0,324
1,5009	0,326
1,5110	0,328
1,5210	0,329
1,5310	0,330
1,5410	0,331
1,5510	0,331
1,5610	0,331
1,5710	0,331
1,5810	0,330
1,5910	0,329
1,6010	0,327
1,6109	0,325
1,6209	0,323
1,6309	0,321
1,6409	0,318
1,6509	0,315
1,6609	0,311
1,6709	0,308
1,6809	0,304
1,6909	0,300
1,7009	0,297
1,7109	0,292
1,7208	0,288
1,7308	0,284
1,7408	0,280
1,7508	0,276
1,7608	0,272
1,7708	0,268
1,7808	0,264
1,7908	0,260
1,8007	0,257
1,8107	0,253
1,8207	0,250
1,8307	0,247
1,8407	0,244
1,8507	0,242
1,8607	0,240
1,8707	0,238
1,8807	0,237
1,8907	0,235
1,9007	0,235
1,9107	0,234
1,9207	0,234
1,9307	0,235
1,9407	0,235
1,9507	0,236
1,9607	0,237
1,9707	0,239
1,9807	0,241
1,9907	0,243
2,0007	0,246
2,0107	0,249
2,0207	0,252
2,0307	0,255
2,0408	0,258
2,0508	0,262
2,0608	0,266
2,0708	0,270
2,0808	0,273
2,0908	0,277
2,1008	0,281
2,1108	0,285
2,1208	0,289
2,1309	0,293
2,1409	0,297
2,1509	0,300
2,1609	0,304
2,1709	0,307
2,1809	0,310
2,1909	0,313
2,2009	0,315
2,2109	0,318
2,2209	0,320
2,2309	0,321
2,2409	0,322
2,2509	0,324
2,2609	0,324
2,2709	0,324
2,2809	0,324
2,2909	0,324
2,3009	0,323
2,3109	0,322
2,3209	0,321
2,3309	0,320
2,3409	0,318
2,3509	0,316
2,3609	0,314
2,3709	0,312
2,3809	0,309
2,3909	0,306
2,4009	0,303
2,4109	0,300
2,4209	0,297
2,4309	0,293
2,4408	0,290
2,4508	0,287
2,4608	0,283
2,4708	0,280
2,4808	0,277
2,4908	0,274
2,5008	0,271
2,5108	0,267
2,5208	0,264
2,5308	0,261
2,5408	0,259
2,5507	0,256
2,5607	0,254
2,5707	0,251
2,5807	0,250
2,5907	0,248
2,6007	0,247
2,6107	0,245
2,6207	0,245
2,6307	0,244
2,6407	0,244
2,6507	0,244
2,6607	0,244
2,6707	0,244
2,6807	0,245
2,6907	0,246
2,7007	0,248
2,7107	0,249
2,7207	0,251
2,7307	0,254
2,7407	0,256
2,7508	0,258
2,7608	0,261
2,7708	0,264
2,7808	0,266
2,7908	0,269
2,8008	0,271
2,8108	0,274
2,8208	0,277
2,8308	0,280
2,8408	0,283
2,8508	0,286
2,8608	0,289
2,8708	0,292
2,8809	0,294
2,8909	0,297
2,9009	0,299
2,9109	0,302
2,9209	0,304
2,9309	0,306
2,9409	0,307
2,9509	0,309
2,9609	0,310
2,9709	0,311
2,9809	0,312
2,9909	0,313
3,0009	0,313
3,0109	0,314
3,0209	0,314
3,0309	0,313
3,0409	0,313
3,0509	0,312
3,0609	0,311
3,0709	0,309
3,0809	0,308
3,0909	0,306
3,1009	0,304
3,1109	0,302
3,1209	0,300
3,1309	0,297
3,1409	0,295
3,1508	0,292
3,1608	0,289
3,1708	0,286
3,1808	0,284
3,1908	0,281
3,2008	0,278
3,2108	0,275
3,2208	0,272
3,2308	0,270
3,2408	0,267
3,2508	0,265
3,2608	0,263
3,2708	0,261
3,2808	0,259
3,2907	0,257
3,3007	0,255
3,3107	0,254
3,3207	0,253
3,3307	0,251
3,3407	0,251
3,3507	0,250
3,3607	0,250
3,3707	0,250
3,3807	0,250
3,3907	0,251
3,4007	0,251
3,4107	0,252
3,4207	0,254
3,4307	0,255
3,4407	0,256
3,4507	0,258
3,4608	0,259
3,4708	0,261
3,4808	0,264
3,4908	0,266
3,5008	0,268
3,5108	0,271
3,5208	0,273
3,5308	0,276
3,5408	0,279
3,5508	0,282
3,5608	0,284
3,5708	0,287
3,5808	0,289
3,5908	0,292
3,6009	0,294
3,6109	0,296
3,6209	0,299
3,6309	0,301
3,6409	0,303
3,6509	0,304
3,6609	0,306
3,6709	0,307
3,6809	0,309
3,6909	0,310
3,7009	0,310
3,7109	0,311
3,7209	0,311
3,7309	0,311
3,7409	0,311
3,7509	0,311
3,7609	0,310
3,7709	0,309
3,7809	0,309
3,7909	0,308
3,8009	0,307
3,8109	0,305
3,8209	0,304
3,8309	0,302
3,8409	0,300
3,8509	0,298
3,8609	0,295
3,8709	0,293
3,8808	0,291
3,8908	0,288
3,9008	0,286
3,9108	0,283
3,9208	0,281
3,9308	0,278
3,9408	0,276
3,9508	0,273
3,9608	0,271
3,9708	0,269
3,9808	0,267
3,9908	0,265
4,0008	0,263
4,0108	0,261
4,0208	0,260
4,0308	0,258
4,0407	0,257
4,0507	0,256
4,0607	0,255
4,0707	0,255
4,0807	0,254
4,0907	0,254
4,1007	0,254
4,1107	0,254
4,1207	0,255
4,1307	0,255
4,1407	0,256
4,1507	0,257
4,1607	0,258
4,1708	0,259
4,1808	0,261
4,1908	0,262
4,2008	0,264
4,2108	0,266
4,2208	0,268
4,2308	0,270
4,2408	0,272
4,2508	0,274
4,2608	0,276
4,2708	0,279
4,2808	0,281
4,2908	0,283
4,3008	0,285
4,3108	0,288
4,3208	0,290
4,3308	0,292
4,3409	0,294
4,3509	0,296
4,3609	0,298
4,3709	0,300
4,3809	0,301
4,3909	0,302
4,4009	0,304
4,4109	0,305
4,4209	0,305
4,4309	0,306
4,4409	0,306
4,4509	0,307
4,4609	0,307
4,4709	0,307
4,4809	0,306
4,4909	0,305
4,5009	0,305
4,5109	0,304
4,5209	0,303
4,5309	0,302
4,5409	0,300
4,5509	0,299
4,5609	0,297
4,5709	0,295
4,5809	0,293
4,5908	0,292
4,6008	0,289
4,6108	0,287
4,6208	0,285
4,6308	0,283
4,6408	0,281
4,6508	0,279
4,6608	0,277
4,6708	0,275
4,6808	0,273
4,6908	0,271
4,7008	0,269
4,7108	0,267
4,7208	0,266
4,7308	0,264
4,7408	0,263
4,7508	0,262
4,7608	0,261
4,7708	0,260
4,7808	0,259
4,7908	0,258
4,8007	0,258
4,8107	0,258
4,8207	0,258
4,8307	0,258
4,8408	0,258
4,8508	0,259
4,8608	0,260
4,8708	0,261
4,8808	0,262
4,8908	0,263
4,9008	0,264
4,9108	0,265
4,9208	0,267
4,9308	0,269
4,9408	0,270
4,9508	0,272
4,9608	0,274
4,9708	0,276
4,9808	0,278
4,9908	0,280
5,0008	0,282
5,0108	0,284
5,0208	0,286
5,0308	0,288
5,0408	0,290
5,0508	0,292
5,0609	0,294
5,0709	0,296
5,0809	0,297
5,0909	0,299
5,1009	0,300
5,1109	0,301
5,1209	0,302
5,1309	0,303
5,1409	0,304
5,1509	0,304
5,1609	0,305
5,1709	0,305
5,1809	0,305
5,1909	0,305
5,2009	0,304
5,2109	0,304
5,2209	0,303
5,2309	0,302
5,2409	0,301
5,2509	0,300
5,2609	0,299
5,2709	0,298
5,2809	0,296
5,2909	0,294
5,3009	0,293
5,3108	0,291
5,3208	0,289
5,3308	0,287
5,3408	0,285
5,3508	0,283
5,3608	0,281
5,3708	0,279
5,3808	0,277
5,3908	0,275
5,4008	0,273
5,4108	0,272
5,4208	0,270
5,4308	0,268
5,4408	0,267
5,4508	0,265
5,4608	0,264
5,4708	0,262
5,4808	0,261
5,4908	0,261
5,5008	0,260
5,5108	0,259
5,5208	0,259
5,5308	0,259
5,5408	0,259
5,5508	0,259
5,5608	0,259
5,5708	0,259
5,5808	0,260
5,5908	0,260
5,6008	0,261
5,6108	0,262
5,6208	0,264
5,6308	0,265
5,6408	0,267
5,6508	0,268
5,6608	0,270
5,6708	0,272
5,6808	0,274
5,6908	0,276
5,7008	0,277
5,7108	0,279
5,7208	0,281
5,7308	0,283
5,7408	0,285
5,7508	0,287
5,7608	0,288
5,7708	0,290
5,7808	0,292
5,7909	0,293
5,8009	0,294
5,8109	0,296
5,8209	0,297
5,8309	0,298
5,8409	0,299
5,8509	0,299
5,8609	0,300
5,8709	0,301
5,8809	0,301
5,8909	0,301
5,9009	0,301
5,9109	0,301
5,9209	0,301
5,9309	0,301
5,9409	0,300
5,9509	0,299
5,9609	0,299
5,9709	0,298
5,9809	0,297
5,9909	0,295
6,0009	0,294
6,0109	0,293
6,0208	0,291
6,0308	0,290
6,0408	0,288
6,0508	0,287
6,0608	0,285
6,0708	0,283
6,0808	0,281
6,0908	0,280
6,1008	0,278
6,1108	0,276
6,1208	0,275
6,1308	0,273
6,1408	0,272
6,1508	0,270
6,1608	0,269
6,1708	0,268
6,1808	0,267
6,1908	0,266
6,2008	0,265
6,2108	0,264
6,2208	0,264
6,2308	0,263
6,2408	0,263
6,2508	0,262
6,2608	0,262
6,2708	0,263
6,2808	0,263
6,2908	0,264
6,3008	0,264
6,3108	0,265
6,3208	0,266
6,3308	0,267
6,3408	0,268
6,3508	0,269
6,3608	0,270
6,3708	0,272
6,3808	0,273
6,3908	0,275
6,4008	0,276
6,4108	0,278
6,4208	0,280
6,4308	0,281
6,4408	0,283
6,4508	0,284
6,4608	0,286
6,4708	0,287
6,4808	0,289
6,4908	0,290
6,5008	0,291
6,5109	0,293
6,5209	0,294
6,5309	0,295
6,5409	0,296
6,5509	0,297
6,5609	0,297
6,5709	0,298
6,5809	0,298
6,5909	0,299
6,6009	0,299
6,6109	0,299
6,6209	0,299
6,6309	0,299
6,6409	0,298
6,6509	0,298
6,6609	0,297
6,6709	0,297
6,6809	0,296
6,6909	0,295
6,7009	0,294
6,7109	0,293
6,7208	0,292
6,7308	0,290
6,7408	0,289
6,7508	0,287
6,7608	0,286
6,7708	0,284
6,7808	0,283
6,7908	0,281
6,8008	0,280
6,8108	0,278
6,8208	0,277
6,8308	0,275
6,8408	0,274
6,8508	0,272
6,8608	0,271
6,8708	0,270
6,8808	0,268
6,8908	0,267
6,9008	0,266
6,9108	0,266
6,9208	0,265
6,9308	0,265
6,9408	0,264
6,9508	0,264
6,9608	0,264
6,9708	0,264
6,9808	0,265
6,9908	0,265
7,0008	0,265
7,0108	0,266
7,0208	0,266
7,0308	0,267
7,0408	0,268
7,0508	0,268
7,0608	0,270
7,0708	0,271
7,0808	0,272
7,0908	0,273
7,1008	0,274
7,1108	0,276
7,1208	0,277
7,1308	0,278
7,1408	0,280
7,1508	0,281
7,1608	0,282
7,1708	0,283
7,1808	0,285
7,1908	0,286
7,2008	0,288
7,2108	0,289
7,2208	0,290
7,2308	0,291
7,2409	0,293
7,2509	0,294
7,2609	0,294
7,2709	0,295
7,2809	0,296
7,2909	0,296
7,3009	0,297
7,3109	0,297
7,3209	0,297
7,3309	0,298
7,3409	0,298
7,3509	0,297
7,3609	0,297
7,3709	0,297
7,3809	0,296
7,3909	0,295
7,4009	0,295
7,4109	0,294
7,4209	0,293
7,4308	0,292
7,4408	0,291
7,4508	0,290
7,4608	0,288
7,4708	0,287
7,4808	0,286
7,4908	0,285
7,5008	0,284
7,5108	0,282
7,5208	0,281
7,5308	0,280
7,5408	0,278
7,5508	0,277
7,5608	0,276
7,5708	0,275
7,5808	0,274
7,5908	0,273
7,6008	0,272
7,6108	0,271
7,6208	0,270
7,6308	0,269
7,6408	0,269
7,6508	0,268
7,6608	0,268
7,6708	0,267
7,6808	0,267
7,6908	0,267
7,7008	0,267
7,7108	0,268
7,7208	0,268
7,7308	0,268
7,7408	0,269
7,7508	0,270
7,7608	0,270
7,7708	0,271
7,7808	0,272
7,7908	0,273
7,8008	0,274
7,8108	0,275
7,8208	0,276
7,8308	0,277
7,8408	0,278
7,8508	0,280
7,8608	0,281
7,8708	0,282
7,8808	0,283
7,8908	0,284
7,9008	0,286
7,9108	0,287
7,9208	0,288
7,9308	0,289
7,9408	0,290
7,9508	0,291
7,9608	0,291
7,9708	0,292
7,9809	0,293
7,9909	0,294
8,0009	0,294
8,0109	0,295
8,0209	0,295
8,0309	0,295
8,0409	0,295
8,0509	0,295
8,0609	0,295
8,0709	0,295
8,0809	0,294
8,0909	0,294
8,1009	0,293
8,1109	0,293
8,1208	0,292
8,1308	0,291
8,1408	0,290
8,1508	0,289
8,1608	0,288
8,1708	0,287
8,1808	0,286
8,1908	0,285
8,2008	0,283
8,2108	0,282
8,2208	0,281
8,2308	0,280
8,2408	0,279
8,2508	0,278
8,2608	0,277
8,2708	0,276
8,2808	0,275
8,2908	0,274
8,3008	0,273
8,3108	0,272
8,3208	0,272
8,3308	0,271
8,3408	0,270
8,3508	0,270
8,3608	0,269
8,3708	0,269
8,3808	0,269
8,3908	0,269
8,4008	0,269
8,4108	0,269
8,4208	0,269
8,4308	0,269
8,4408	0,269
8,4508	0,270
8,4608	0,270
8,4708	0,270
8,4808	0,271
8,4908	0,272
8,5008	0,273
8,5108	0,274
8,5208	0,275
8,5308	0,276
8,5408	0,277
8,5508	0,278
8,5608	0,279
8,5708	0,280
8,5808	0,281
8,5908	0,282
8,6008	0,283
8,6108	0,285
8,6208	0,286
8,6308	0,287
8,6408	0,288
8,6508	0,289
8,6608	0,290
8,6708	0,290
8,6808	0,291
8,6908	0,292
8,7008	0,292
8,7109	0,293
8,7209	0,293
8,7309	0,293
8,7409	0,294
8,7509	0,294
8,7609	0,294
8,7709	0,294
8,7809	0,294
8,7909	0,294
8,8009	0,293
8,8109	0,293
8,8209	0,293
8,8308	0,292
8,8408	0,291
8,8508	0,291
8,8608	0,290
8,8708	0,289
8,8808	0,288
8,8908	0,287
8,9008	0,286
8,9108	0,285
8,9208	0,284
8,9308	0,283
8,9408	0,282
8,9508	0,281
8,9608	0,280
8,9708	0,279
8,9808	0,278
8,9908	0,277
9,0008	0,276
9,0108	0,275
9,0208	0,275
9,0308	0,274
9,0408	0,273
9,0508	0,273
9,0608	0,272
9,0708	0,272
9,0808	0,271
9,0908	0,271
9,1008	0,271
9,1108	0,271
9,1208	0,270
9,1308	0,270
9,1408	0,271
9,1508	0,271
9,1608	0,271
9,1708	0,271
9,1808	0,272
9,1908	0,272
9,2008	0,273
9,2108	0,274
9,2208	0,274
9,2308	0,275
9,2408	0,276
9,2508	0,277
9,2608	0,277
9,2708	0,278
9,2808	0,279
9,2908	0,280
9,3008	0,281
9,3108	0,282
9,3208	0,283
9,3308	0,284
9,3408	0,285
9,3508	0,286
9,3608	0,287
